"","con1","con2","con3","con4","con5","con6","case1","case2","case3","case4","case5","case6"
"PROT1",19.635,20.667,17.085,17.498,22.89,20.897,19.219,24.239,21.317,18.598,21.47,21.158
"PROT2",16.335,17.662,19.15,18.759,21.78,19.699,17.397,18.467,19.994,18.887,21.097,17.931
"PROT3",21.055,21.201,18.642,22.12,18.495,20.752,19.218,19.47,16.072,20.236,20.85,20.588
"PROT4",19.704,20.134,22.224,19.941,17.084,17.961,18.774,21.448,23.121,16.503,20.745,20.139
"PROT5",19.185,17.786,19.964,19.734,20.026,16.518,18.481,15.737,21.387,19.607,18.228,20.623
"PROT6",23.208,18.089,16.786,16.741,25.192,20.883,21.053,17.071,19.184,18.035,21.543,20.074
"PROT7",18.038,20.444,17.159,21.562,21.027,18.577,21.535,20.222,23.519,17.203,18.931,21.044
"PROT8",19.468,20.67,19.379,20.064,17.048,21.324,19.731,18.599,20.48,17.669,26.018,20.303
"PROT9",21.61,19.849,24.259,19.728,19.639,16.285,21.579,21.537,16.973,16.522,17.576,21.427
"PROT10",16.943,19.881,19.569,18.197,20.225,21.306,23.757,21.708,20.878,21.908,18.774,20.407
"PROT11",18.403,19.247,18.316,16.98,21.182,19.41,22.868,28.609,20.964,22.582,23.15,24.57
"PROT12",20.096,22.257,19.713,15.999,19.428,24.792,20.951,18.095,22.026,20.319,19.81,19.879
"PROT13",20.574,21.813,18.3,19.358,23.281,18.281,20.743,18.055,17.034,20.136,18.659,18.291
"PROT14",17.17,16.446,21.597,17.79,21.038,22.996,19.835,19.094,21.532,21.046,21.995,19.197
"PROT15",23.086,17.297,18.631,19.943,20.007,22.096,20.312,19.141,21.875,22.272,22.263,19.724
"PROT16",19.773,20.719,17.627,19.387,17.695,18.793,21.19,23.951,21.934,23.374,25.559,19.186
"PROT17",17.172,17.941,19.204,21.645,20.401,19.662,17.387,17.652,20.924,16.016,18.714,16.799
"PROT18",17.395,17.722,18.883,19.929,14.797,18.831,17.644,19.542,18.282,21.024,15.422,18.332
"PROT19",21.829,20.474,20.145,20.968,19.66,20.225,16.522,20.948,19.505,19.935,21.732,21.202
"PROT20",23.365,19.856,21.286,15.746,18.034,20.317,18.349,22.235,19.767,19.416,20.925,24.144
"PROT21",18.355,20.293,20.329,20.49,20.822,18.023,18.731,16.94,20.104,18.318,20.074,17.523
"PROT22",20.214,18.351,21.316,20.947,21.364,21.047,17.808,17.195,18.52,16.172,18.984,15.462
"PROT23",22.311,18.38,18.451,20.976,18.678,22.473,20.149,22.427,21.164,26.828,18.108,18.755
"PROT24",19.327,20.211,18.183,20.161,18.106,22.827,17.864,15.797,16.574,18.777,16.925,17.434
"PROT25",19.527,20.037,19.472,16.439,20.699,17.797,15.4,14.151,16.721,19.592,18.846,20.425
"PROT26",17.764,19.947,20.206,19.59,18.408,19.865,21.946,20.664,18.235,18.536,22.591,19.359
"PROT27",19.94,18.307,18.991,15.292,16.549,18.865,19.43,15.388,19.756,18.122,19.747,16.633
"PROT28",23.437,20.578,19.336,18.683,18.038,20.137,17.524,17.432,18.147,19.668,16.673,17.317
"PROT29",23.688,20.139,21.397,20.272,21.11,20.244,19.687,17.979,20.41,17.483,19.324,20.024
"PROT30",18.014,22.597,21.482,21.594,20.449,18.333,21.602,19.51,19.649,19.278,22.612,26.201
"PROT31",21.243,19.003,21.498,20.726,13.944,19.885,21.453,18.426,18.213,17.889,18.277,23.211
"PROT32",23.03,21.866,20.699,18.656,17.539,22.097,11.756,20.32,19.01,18.965,14.212,19.114
"PROT33",21.131,18.117,22.286,20.669,21.952,19.673,24.581,20.908,23.115,22.457,22.831,25.25
"PROT34",18.088,20.549,21.225,22.412,20.695,19.219,18.604,21.793,18.956,15.138,16.972,15.515
"PROT35",21.57,17.896,19.425,18.652,18.099,21.154,18.734,22.614,20.47,18.873,20.31,17.405
"PROT36",17.406,21.89,22.583,19.609,21.472,20.39,18.385,18.314,21.256,19.719,18.368,22.281
"PROT37",20.668,20.912,19.235,20.436,20.451,20.884,21.046,15.088,20.623,17.637,19.878,20.685
"PROT38",22.118,19.401,20.569,19.039,20.335,21.409,23.776,18.148,19.609,20.746,17.296,22.509
"PROT39",19.272,19.721,19.705,19.306,17.172,19.379,22.089,20.443,18.174,19.569,18.668,20.203
"PROT40",18.783,20.686,17.274,21.983,16.161,19.302,19.113,20.774,16.91,22.399,18.158,16.645
"PROT41",17.798,21.065,20.622,22.223,17.838,17.836,16.516,19.795,15.243,16.911,20.192,16.434
"PROT42",20.483,22.479,16.879,19.107,23.938,17.997,18.011,19.513,21.721,20.297,23.233,23.599
"PROT43",22.605,19.184,22.399,22.457,19.222,21.671,21.674,21.909,19.798,17.647,17.673,16.824
"PROT44",19.425,18.765,20.985,17.002,19.233,19.469,18.833,19.398,19.178,20.917,19.4,19.361
"PROT45",23.046,25.752,20.585,17.772,19.669,19.93,22.74,22.823,23.369,21.276,19.613,22.431
"PROT46",19.298,18.182,19.612,20.185,20.085,19.131,20.546,20.294,19.107,16.151,22.861,19.475
"PROT47",20.36,20.63,18.604,19.611,20.509,18.948,17.088,22.33,22.845,20.036,20.57,21.103
"PROT48",19.402,22.128,22.515,20.33,22.084,21.401,20.498,19.925,21.713,20.717,19.941,22.894
"PROT49",21.147,14.778,20.04,19.23,21.424,19.385,18.563,18.368,17.806,21.395,21.565,20.834
"PROT50",21.301,22.517,23.518,16.956,24.811,18.215,18.776,25.829,20.98,20.961,18.692,20.044
"PROT51",20.13,21.681,20.656,20.784,24.003,18.285,21.727,17.496,17.784,19.916,20.067,19.286
"PROT52",18.376,19.057,24.107,19.47,22.294,20.735,17.843,20.434,21.373,22.5,19.754,17.294
"PROT53",22.552,19.089,20.376,22.405,15.98,16.614,23.571,18.325,19.732,23.252,18.813,20.095
"PROT54",18.062,20.265,18.102,22.85,23.188,20.587,18.764,21.047,18.569,17.313,17.447,20.68
"PROT55",20.355,24.496,22.69,19.403,20.512,17.151,19.846,21.611,19.904,20.898,19.328,20.127
"PROT56",16.493,21.894,22.662,22.639,21.651,19.056,20.167,22.117,19.618,20.376,22.941,19.624
"PROT57",21.662,18.552,18.809,22.985,18.555,17.411,21.844,18.136,21.482,17.085,24.492,18.995
"PROT58",18.692,18.877,20.133,16.095,21.481,23.634,20.275,24.117,25.527,23.127,24.583,22.082
"PROT59",20.28,18.911,18.096,21.648,23.466,21.316,21.116,24.451,17.238,19.303,22.831,24.982
"PROT60",22.314,21.108,19.599,16.911,20.411,20.551,23.953,19.438,21.309,20.598,17.49,21.15
"PROT61",23.732,24.406,16.627,20.669,19.069,21.787,18.054,15.741,17.731,17.884,16.523,15.332
"PROT62",19.325,19.735,22.006,19.005,21.195,22.609,17.971,17.492,19.472,20.138,19.167,20.722
"PROT63",21.355,20.725,21.866,19.619,20.865,16.847,20,17.534,20.994,16.992,20.947,21.422
"PROT64",22.359,20.529,16.997,21.772,19.904,18.372,17.521,19.353,16.434,15.428,16.029,20.491
"PROT65",17.428,24.211,19.639,19.719,16.081,21.528,22.346,20.649,22.618,18.162,20.377,18.005
"PROT66",21.691,17.201,20.226,16.891,20.875,19.038,18.174,14.852,20.523,19.363,15.83,19.279
"PROT67",16.549,19.255,18.945,22.544,20.044,20.837,19.434,22.814,19.118,21.389,19.464,21.867
"PROT68",20.031,21.335,19.816,17.518,20.637,20.862,22.048,21.347,24.974,19.195,17.61,18.954
"PROT69",18.795,18.235,19.804,22.921,21.132,20.109,20.459,18.27,18.501,21.165,18.217,16.397
"PROT70",21.01,18.143,20.52,21.359,20.377,23.664,20.376,20.862,17.238,16.424,15.995,18.048
"PROT71",17.557,26.658,18,20.666,21.466,20.015,16.653,20.457,19.431,23.058,21.232,20.494
"PROT72",22.101,20.408,19.242,14.734,20.269,19.749,20.544,18.807,17.499,21.98,20.026,19.894
"PROT73",25.57,18.325,18.775,16.717,21.33,21.225,18.597,18.924,21.962,19.397,21.383,18.099
"PROT74",19.268,20.798,19.266,16.389,15.352,20.234,21.772,21.787,20.12,24.113,21.607,22.137
"PROT75",22.564,19.058,18.566,16.053,21.73,16.733,19.481,20.266,21.914,20.959,22.882,22.365
"PROT76",14.46,17.466,20.474,16.7,19.865,19.981,18.872,15.678,20.85,20.886,18.769,20.324
"PROT77",21.318,21.049,17.632,20.634,22.409,17.581,16.282,18.054,20.051,16.515,19.509,17.529
"PROT78",18.682,23.599,20.734,19.916,14.939,20.399,21.241,17.275,21.558,18.127,19.208,18.017
"PROT79",21.562,24.144,21.225,18.229,24.401,18.866,17.158,18.016,19.447,13.906,17.566,17.642
"PROT80",22.631,17.869,16.675,22.134,20.058,15.865,20.468,20.139,21.197,18.905,19.932,20.946
"PROT81",17.301,15.636,22.942,18.435,23.237,18.992,17.774,16.971,16.537,18.67,20.153,19.908
"PROT82",19.342,23.148,21.913,19.154,20.91,19.72,21.193,22.405,21.101,19.377,18.27,19.103
"PROT83",22.02,21.14,22.848,18.916,21.681,22.569,18.826,17.275,14.37,16.516,16.795,20.794
"PROT84",21.806,17.946,20.407,17.035,22.312,21.137,16.364,21.366,18.085,21.878,17.553,19.551
