"","con1","con2","con3","con4","con5","con6","case1","case2","case3","case4","case5","case6"
"M1",13.042,8.424,13.145,11.419,11.839,14.083,12.073,9.17,12.277,10.939,11.427,9.397
"M2",13.956,12.729,11.675,12.821,12.237,10.274,11.259,10.819,11.715,8.837,12.141,11.94
"M3",14.253,11.86,13.313,11.851,12.419,11.347,10.867,11.286,9.796,12.805,10.192,12.119
"M4",12.133,13.582,9.599,14.496,13.427,10.045,13.283,9.472,10.984,10.628,12.702,12.873
"M5",13.81,10.875,10.178,11.772,8.969,12.181,10.814,8.47,10.025,10.383,8.763,14.927
"M6",13.741,10.704,12.277,14.665,13.087,10.949,12.704,11.367,10.762,14.425,12.692,11.13
"M7",10.23,10.509,13.547,13.619,12.835,13.424,11.554,13.814,11.876,12.265,13.244,9.508
"M8",10.447,12.587,13.164,12.774,9.636,9.776,14.018,14.384,13.171,13.649,13.485,13.481
"M9",13.551,11.466,13.786,12.286,9.662,12.083,11.273,11.141,9.618,13.912,9.688,12.67
"M10",12.178,11.089,13.385,12.671,11.314,11.073,11.316,12.72,13.668,12.613,11.163,12.839
"M11",11.213,11.552,13.278,13.804,12.887,14.366,10.508,14.406,12.342,13.826,10.188,11.01
"M12",10.985,10.964,11.209,12.778,11.336,13.3,11.282,12.145,9.96,14.162,10.595,10.71
"M13",9.268,10.637,12.05,10.545,10.79,12.272,12.815,12.588,14.297,13.047,9.739,13.115
"M14",11.323,9.762,11.264,11.095,9.693,7.516,14.467,14.981,13.752,12.641,12.757,12.118
"M15",11.45,11.531,11.13,11.724,9.926,14.569,10.214,11.525,9.362,11.138,13.663,10.643
"M16",10.904,13.763,12.054,12.922,11.294,11.122,14.018,14.377,10.921,15.361,12.169,13.096
"M17",11.428,12.385,11.907,11.703,11.466,13.028,16.157,14.016,13.71,12.287,12.419,14.954
"M18",12.227,12.692,13.428,11.661,12.881,13.218,11.041,9.876,12.413,11.593,11.877,14.263
"M19",11.076,8.866,11.128,10.79,9.571,11.288,9.559,13.166,10.903,17.231,11.264,14.394
"M20",13.8,8.434,9.247,11.779,10.459,11.896,12.055,10.682,10.375,12.988,11.002,11.565
"M21",10.609,11.159,11.286,8.754,12.984,14.225,10.981,11.13,8.046,11.747,7.281,8.737
"M22",11.287,9.286,13.691,12.512,13.246,12.857,8.441,10.299,12.76,13.163,10.8,12.272
"M23",11.944,13.004,11.914,12.512,11.287,16.209,12.523,12.951,12.902,12.74,13.024,12.012
"M24",11.401,13.556,13.575,14.174,12.52,11.137,11.695,11.757,15.304,11.93,12.002,12.218
"M25",9.428,13.357,12.41,12.963,12.219,11.149,14.092,11.927,12.929,11.864,10.663,15.105
"M26",11.102,11.809,12.58,13.972,10.241,11.246,12.021,13.975,12.062,11.629,12.87,10.511
"M27",11.945,7.655,13.019,10.456,11.044,12.047,10.733,11.409,12.942,11.997,9.633,10.694
"M28",12.696,13.76,12.602,11.718,13.998,11.984,12.42,11.48,12.422,11.157,12.989,11.084
"M29",11.097,12.399,11.448,12.128,10.654,10.423,13.281,9.531,11.427,11.583,10.555,10.502
"M30",9.805,11.068,10.623,10.626,10.556,12.073,12.784,11.825,12.509,10.841,12.448,13.707
"M31",11.494,12.623,12.068,10.11,9.355,10.173,13.348,10.08,13.052,12.795,8.734,9.38
"M32",10.79,14.092,9.261,11.605,14.131,13.386,10.878,12.56,9.713,12.147,11.392,12.113
"M33",13.555,13.772,14.381,12.103,11.665,12.158,12.564,9.034,10.722,13.478,11.63,12.939
"M34",10.045,13.18,11.594,16.001,11.336,10.405,11.415,12.043,11.459,13.152,12.638,11.682
"M35",11.297,12.248,13.255,10.702,11.921,15.169,13.952,15.033,13.444,15.043,15.35,13.545
"M36",13.788,11.439,8.732,13.867,11.676,13.807,11.541,10.765,13.418,11.8,9.302,10.791
"M37",13.931,13.843,11.449,12.522,11.29,14.11,13.368,14.841,11.227,11.066,12.201,12.211
"M38",13.892,7.557,14.559,13.925,11.379,12.949,12.69,12.162,10.455,13.777,12.673,11.456
"M39",11.95,10.386,12.681,11.865,12.628,13.164,11.778,14.025,11.57,12.151,9.003,13.788
"M40",13.12,11.364,10.777,10.41,11.342,12.551,14.484,9.158,12.615,10.747,11.569,10.403
"M41",12.577,12.24,12.169,15.142,12.471,12.133,10.417,7.817,8.486,10.624,10.613,10.632
"M42",12.383,13.359,12.807,13.248,12.897,15.069,9.299,14.05,10.506,12.928,15.257,11.449
"M43",12.776,11.893,13.053,10.925,11.192,11.76,11.387,10.33,11.629,13.776,10.872,11.579
"M44",13.563,10.592,10.501,11.966,10.472,12.247,12.477,13.869,10.198,12.137,13.922,11.258
"M45",10.81,8.638,10.106,12.542,8.657,11.336,12.07,9.011,11.457,10.299,10.354,8.779
"M46",12.702,12.395,12.379,12.405,10.746,11.539,13.007,15.622,15.548,15.609,13.367,14.223
"M47",9.633,13.212,12.145,11.913,6.16,11.938,11.065,9.774,10.355,9.256,11.932,11.455
"M48",11.149,12.49,9.566,10.532,13.452,13.393,12.432,10.049,13.747,12.143,10.44,12.016
"M49",12.466,13.77,11.404,15.238,11.127,12.874,12.287,10.625,13.321,12.052,9.807,9.671
"M50",8.986,10.528,12.531,12.296,13.762,14.273,13.212,10.609,12.962,16.038,12.386,13.763
"M51",12.383,10.179,12.169,12.841,16.2,11.735,12.939,12.103,12.594,11.966,13.015,12.464
"M52",11.445,12.381,11.031,13.609,11.13,9.711,12.595,9.942,8.641,12.486,8.43,11.2
"M53",9.144,9.388,12.596,10.493,10.805,12.14,10.258,10.69,14.256,13.877,13.351,10.211
"M54",12.43,13.923,12.877,10.868,12.48,11.893,11.484,12.612,12.816,11.437,12.477,9.663
"M55",10.028,8.662,12.173,11.299,12.291,11.559,12.654,9.765,13.917,13.83,14.3,12.214
"M56",13.009,12.909,12.978,8.053,12.036,13.715,11.099,11.596,11.55,15.227,11.621,10.624
"M57",11.274,13.252,10.934,12.579,13.445,10.634,13.602,14.916,8.67,12.625,12.419,10.6
"M58",10.312,10.282,12.012,12.528,13.267,12.536,12.323,13.21,11.867,12.921,12.527,10.539
"M59",12.171,12.456,13.643,15.25,11.941,10.824,11.332,11.32,11.103,9.668,11.366,7.894
"M60",12.846,14.661,12.542,11.599,11.388,14.809,12.243,14.139,14.705,14.291,13.989,12.963
"M61",13.827,8.888,11.441,13.1,12.344,12.629,11.604,10.971,9.959,12.153,11.506,11.146
"M62",12.315,10.747,11.67,11.676,14.434,11.464,10.592,9.774,14.979,11.476,11.052,10.814
"M63",10.879,13.955,11.655,11.496,8.683,11.342,9.283,9.534,12.679,11.831,10.853,10.045
"M64",10.013,11.556,13.532,13.182,12.287,12.365,10.676,12.057,10.435,11.279,13.217,12.3
"M65",16.088,11.317,9.849,11.565,10.949,13.095,11.051,12.014,11.999,11.516,10.709,12.78
"M66",11.797,13.883,13.754,12.452,11.329,12.828,15.049,11.072,11.368,10.259,11.327,13.943
"M67",10.308,12.88,13.611,10.36,10.797,12.037,12.474,10.276,14.585,8.629,11.993,12.963
"M68",13.259,12.177,11.547,11.073,10.107,13.06,11.506,10.077,13.712,11.864,10.33,11.942
"M69",12.846,12.052,12.912,12.04,10.75,13.496,13.968,9.319,10.533,12.475,13.578,12.72
"M70",11.307,13.624,11.497,12.402,14.497,14.732,13.332,9.127,12.157,10.474,8.56,9.169
"M71",12.977,10.507,13.248,11.257,10.244,9.708,12.17,11.079,12.633,11.076,8.669,11.094
"M72",10.199,12.355,10.531,10.845,11.325,11.954,8.587,10.981,11.778,11.082,10.537,13.159
"M73",12.575,12.084,15.246,12.084,9.849,13.23,10.267,13.393,12.819,11.332,12.68,9.786
"M74",11.391,11.526,11.78,16.884,13.508,9.89,13.256,12.566,12.898,15.175,13.72,12.202
"M75",13.112,10.69,9.711,11.411,13.626,10.871,13.384,10.484,13.946,13.232,11.59,12.981
"M76",12.224,11.517,11.267,11.082,12.751,12.348,10.94,14.575,9.667,10.157,12.686,11.158
"M77",12.677,11.496,9.911,10.85,13.547,12.501,9.571,10.785,12.023,15.357,12.373,13.191
"M78",11.979,10.848,13.871,12.753,9.602,10.602,14.092,10.448,11.472,15.358,13.237,13.118
"M79",11.679,13.878,7.823,13.303,13.643,12.124,13.807,12.34,10.363,13.064,11.415,11.543
"M80",9.725,13.185,11.197,8.922,14.126,10.502,13.303,13.078,12.706,13.982,11.47,14.532
"M81",12.968,12.135,11.012,10.836,12.513,9.38,15.103,11.579,12.134,11.951,12.43,12.388
"M82",13.964,13.045,10.381,12.016,13.524,11.381,13.318,13.552,12.688,14.716,13.025,14.42
"M83",14.95,12.727,12.818,12.211,10.811,11.268,11.426,11.62,13.722,11.696,11.722,11.962
"M84",13.903,12.526,12.464,12.216,13.181,11.786,11.778,11.359,13.82,13.058,10.171,12.149
"M85",15.454,13.902,10.67,9.717,9.391,10.416,10.938,14.964,13.03,13.055,11.299,13.678
"M86",15.631,11.22,10,11.756,11.882,11.849,13.096,11.876,12.859,11.884,14.425,12.586
"M87",12.187,13.508,11.263,8.334,11.964,10.699,13.17,12.316,10.287,13.726,13.041,13.091
"M88",12.695,12.862,11.512,13.111,11.901,13.317,12.362,11.306,10.841,10.909,11.125,12.149
"M89",14.93,8.142,15.043,12.797,12.082,12.871,9.385,9.813,9.2,11.105,12.686,11.261
"M90",12.33,9.84,12.271,12.746,12.045,12.937,12.466,10.939,12.799,12.565,9.884,12.804
"M91",9.707,11.393,13.17,13.106,9.662,12.384,10.53,10.889,11.885,10.588,10.347,9.388
"M92",12.251,14.005,12.621,11.878,9.331,9.782,12.341,13.296,10.57,11.879,12.527,15.193
"M93",11.54,13.429,11.144,11.856,9.732,9.228,15.224,10.994,13.941,14.675,12.361,15.345
"M94",11.654,12.992,12.086,13.957,9.647,11.392,12.981,10.855,13.704,12.035,10.957,9.589
"M95",13.415,11.1,9.23,9.641,11.725,12.779,12.148,9.355,12.697,11.517,10.637,12.886
"M96",11.371,12.092,11.688,12.686,10.537,11.907,14.089,10.961,12.815,11.534,11.616,12.283
"M97",12.895,11.942,13.421,8.717,11.225,10.09,10.919,9.195,11.252,11.141,10.749,10.73
"M98",13.54,11.733,7.951,13.666,11.073,10.91,14.564,12.58,12.3,10.227,11.798,12.227
"M99",12.829,10.376,11.356,9.727,10.188,13.372,11.833,12.808,10.895,12.678,11.888,11.551
"M100",11.004,11.507,11.307,12.005,11.901,12.277,13.031,13.336,13.254,14.339,15.098,14.464
"M101",12.855,10.398,12.061,12.751,11.833,14.183,10.795,13.342,12.257,10.519,12.964,10.168
"M102",13.518,13.483,10.575,12.355,11.115,11.985,15.913,13.499,13.307,12.987,15.039,13.265
"M103",11.48,11.224,10.46,9.729,12.681,12.408,9.238,10.228,9.443,10.318,10.714,12.614
"M104",11.627,12.188,13.83,13.477,12.562,13.844,11.902,12.303,11.526,10.945,12.363,11.888
"M105",12.319,13.482,13.887,11.371,10.781,12.19,10.324,14.488,8.225,10.088,12.654,13.692
"M106",11.964,12.991,14.501,12.049,10.589,11.822,14.684,10.116,13.322,14.408,11.854,14.727
"M107",10.166,10.204,8.199,12.332,13.516,11.467,11.48,7.976,8.104,9.263,11.269,7.079
"M108",12.335,7.929,13.975,14.634,15.033,11.938,12.42,11.006,10.209,12.705,13.237,13.147
"M109",11.527,11.579,11.687,8.71,10.661,12.789,11.771,13.106,13.127,10.034,7.302,13.48
"M110",12.623,13.098,11.694,12.301,13.39,11.266,13.874,13.494,12.405,15.874,12.135,13.712
"M111",11.212,11.798,12.222,12.616,13.269,13.621,14.296,11.743,9.829,11.501,11.757,11.07
"M112",11.844,12.154,10.626,16.086,12.863,9.841,12.046,11.358,10.52,13.371,16.152,11.086
"M113",12.301,12.38,12.167,11.933,14.131,12.185,9.485,10.876,12.264,12.927,12.24,8.852
"M114",12.118,11.433,9.237,10.285,12.159,13.451,9.791,11.985,10.036,7.738,11.006,12.966
"M115",10.252,11.213,10.768,14.025,10.654,11.237,9.291,11.677,13.225,11.581,12.233,11.943
"M116",12.812,10.998,14.69,9.863,11.737,15.705,13.307,12.468,8.155,12.985,13.288,12.417
"M117",11.574,12.097,11.867,13.936,12.204,12.247,10.41,11.071,12.23,10.752,9.618,10.208
"M118",11.718,13.616,11.572,8.875,9.839,13.462,14.067,12.898,8.509,10.105,13.694,10.772
"M119",13.704,13.188,12.443,9.775,12.985,13.737,14.122,14.319,12.475,12.69,9.129,14.01
"M120",12.821,11.474,11.901,12.518,10.118,10.156,13.388,11.869,11.984,13.875,13.471,9.849
"M121",14.4,12.786,11.687,9.756,11.08,9.77,10.409,10.538,8.82,9.081,8.29,9.642
"M122",12.467,10.997,11.915,14.316,12.481,8.707,10.38,13.123,14.347,14.938,15.289,12.788
